kept,dropped
macro_national_year_end_total_population_10k,macro_year_end_urban_non_private_employees_10k
macro_resident_registered_ratio,macro_national_year_end_total_population_10k
macro_under_18_10k,macro_private_individual_ratio
macro_18_60_years_10k,macro_under_18_10k
macro_over_60_years_10k,macro_18_60_years_10k
macro_total,macro_over_60_years_10k
macro_under_18_percent,macro_total
macro_18_60_years_percent,macro_under_18_percent
macro_over_60_years_percent,macro_private_individual_and_other_employees_10k
macro_gdp_100m,macro_18_60_years_percent
macro_primary_industry_100m,macro_gdp_100m
macro_secondary_industry_100m,macro_primary_industry_100m
macro_tertiary_industry_100m,macro_secondary_industry_100m
macro_national_gdp_100m,macro_tertiary_industry_100m
macro_employed_population,macro_year_end_total_employed_population_10k
macro_primary_industry_percent,macro_national_gdp_100m
macro_primary_industry_percent,macro_tertiary_industry_development_gdp_share
macro_secondary_industry_percent,macro_gdp_per_capita_yuan
macro_tertiary_industry_percent,macro_gdp_population_ratio
macro_tertiary_industry_percent,macro_primary_industry_percent
macro_white_collar_service_vs_blue_collar_manufacturing_ratio,macro_resident_registered_ratio
macro_personal_income_tax_100m,macro_general_public_budget_revenue_100m
macro_per_capita_personal_income_tax_yuan,macro_personal_income_tax_100m
macro_general_public_budget_expenditure_100m,macro_per_capita_personal_income_tax_yuan
macro_annual_average_wage_urban_non_private_employees_yuan,macro_tertiary_industry_percent
macro_annual_average_wage_urban_non_private_employees_yuan,macro_general_public_budget_expenditure_100m
macro_annual_average_wage_urban_non_private_on_duty_employees_yuan,macro_annual_average_wage_urban_non_private_employees_yuan
macro_per_capita_disposable_income_absolute_yuan,macro_total_retail_sales_of_consumer_goods_100m
macro_per_capita_disposable_income_absolute_yuan,macro_annual_average_wage_urban_non_private_on_duty_employees_yuan
macro_number_of_universities,macro_per_capita_disposable_income_absolute_yuan
macro_university_students_10k,macro_number_of_universities
macro_number_of_middle_schools,macro_university_students_10k
macro_middle_school_students_10k,macro_number_of_middle_schools
macro_primary_school_students_10k,macro_middle_school_students_10k
macro_number_of_kindergartens,macro_primary_school_students_10k
macro_kindergarten_students_10k,macro_number_of_kindergartens
macro_hospitals_health_centers,macro_kindergarten_students_10k
macro_hospital_beds_10k,macro_hospitals_health_centers
macro_health_technical_personnel_10k,macro_hospital_beds_10k
macro_doctors_10k,macro_health_technical_personnel_10k
macro_road_length_km,macro_doctors_10k
macro_road_area_10k_sqm,macro_road_length_km
macro_per_capita_urban_road_area_sqm,macro_road_area_10k_sqm
macro_operating_bus_line_length_km,macro_number_of_operating_bus_lines
macro_internet_broadband_access_subscribers_10k,macro_operating_bus_line_length_km
macro_internet_broadband_access_ratio,macro_internet_broadband_access_subscribers_10k
macro_number_of_industrial_enterprises_above_designated_size,macro_per_capita_urban_road_area_sqm
macro_number_of_industrial_enterprises_above_designated_size,macro_internet_broadband_access_ratio
macro_total_current_assets_10k,macro_number_of_industrial_enterprises_above_designated_size
macro_science_expenditure_10k,macro_urban_consumer_price_index_previous_year_100
macro_education_expenditure_10k,macro_science_expenditure_10k
macro_year_end_registered_population_10k_interp,macro_total_current_assets_10k
macro_year_end_registered_population_10k_yoy,macro_is_extrapolated
macro_total_households_10k_interp,macro_year_end_registered_population_10k_interp
macro_total_households_10k_yoy,macro_year_end_registered_population_10k_yoy
macro_year_end_resident_population_10k_yoy,macro_secondary_industry_percent
macro_year_end_resident_population_10k_yoy,macro_per_capita_housing_area_sqm
macro_year_end_total_employed_population_10k_interp,macro_employed_population
macro_year_end_urban_non_private_employees_10k_interp,macro_year_end_resident_population_10k_interp
macro_year_end_urban_non_private_employees_10k_yoy,macro_total_households_10k_interp
macro_year_end_urban_non_private_employees_10k_yoy,macro_year_end_urban_non_private_employees_10k_interp
macro_private_individual_and_other_employees_10k_interp,macro_over_60_years_percent
macro_national_year_end_total_population_10k_interp,macro_year_end_urban_non_private_employees_10k_yoy
macro_national_year_end_total_population_10k_interp,macro_private_individual_ratio_yoy
macro_national_year_end_total_population_10k_yoy,macro_year_end_resident_population_10k_yoy
macro_resident_registered_ratio_interp,macro_white_collar_service_vs_blue_collar_manufacturing_ratio
macro_resident_registered_ratio_interp,macro_national_year_end_total_population_10k_interp
macro_resident_registered_ratio_yoy,macro_national_year_end_total_population_10k_yoy
macro_under_18_10k_interp,macro_private_individual_ratio_interp
macro_under_18_10k_yoy,macro_total_households_10k_yoy
macro_18_60_years_10k_interp,macro_under_18_10k_interp
macro_18_60_years_10k_yoy,macro_private_individual_and_other_employees_10k_interp
macro_18_60_years_10k_yoy,macro_under_18_10k_yoy
macro_over_60_years_10k_interp,macro_18_60_years_10k_interp
macro_total_interp,macro_over_60_years_10k_interp
macro_total_yoy,macro_18_60_years_10k_yoy
macro_under_18_percent_interp,macro_total_interp
macro_under_18_percent_yoy,macro_total_yoy
macro_18_60_years_percent_interp,macro_under_18_percent_interp
macro_18_60_years_percent_yoy,macro_over_60_years_10k_yoy
macro_over_60_years_percent_yoy,macro_private_individual_and_other_employees_10k_yoy
macro_gdp_100m_interp,macro_18_60_years_percent_interp
macro_gdp_100m_yoy,macro_per_capita_disposable_income_index_previous_year_100
macro_primary_industry_100m_interp,macro_gdp_100m_interp
macro_primary_industry_100m_yoy,macro_under_18_percent_yoy
macro_secondary_industry_100m_interp,macro_primary_industry_100m_interp
macro_secondary_industry_100m_yoy,macro_secondary_industry_development_gdp_share
macro_tertiary_industry_100m_interp,macro_secondary_industry_100m_interp
macro_tertiary_industry_100m_yoy,macro_number_of_primary_schools
macro_tertiary_industry_100m_yoy,macro_gdp_100m_yoy
macro_gdp_per_capita_yuan_interp,macro_resident_registered_ratio_yoy
macro_gdp_per_capita_yuan_yoy,macro_retail_sales_growth_rate
macro_gdp_per_capita_yuan_yoy,macro_engel_coefficient
macro_national_gdp_100m_interp,macro_tertiary_industry_100m_interp
macro_national_gdp_100m_yoy,macro_secondary_industry_100m_yoy
macro_national_economic_primacy_yoy,macro_national_gdp_100m_interp
macro_national_population_share_yoy,macro_gdp_per_capita_yuan_interp
macro_gdp_population_ratio_yoy,macro_national_population_share_yoy
macro_secondary_industry_development_gdp_share_interp,macro_national_gdp_100m_yoy
macro_tertiary_industry_development_gdp_share_interp,macro_tertiary_industry_100m_yoy
macro_tertiary_industry_development_gdp_share_yoy,macro_education_expenditure_10k
macro_tertiary_industry_development_gdp_share_yoy,macro_resident_registered_ratio_interp
macro_tertiary_industry_development_gdp_share_yoy,macro_gdp_population_ratio_interp
macro_employed_population_interp,macro_year_end_total_employed_population_10k_interp
macro_employed_population_yoy,macro_year_end_total_employed_population_10k_yoy
macro_primary_industry_percent_interp,macro_tertiary_industry_development_gdp_share_interp
macro_secondary_industry_percent_yoy,macro_tertiary_industry_development_gdp_share_yoy
macro_tertiary_industry_percent_interp,macro_primary_industry_percent_interp
macro_white_collar_service_vs_blue_collar_manufacturing_ratio_yoy,macro_secondary_industry_percent_yoy
macro_general_public_budget_revenue_100m_interp,macro_national_economic_primacy_yoy
macro_general_public_budget_revenue_100m_interp,macro_white_collar_service_vs_blue_collar_manufacturing_ratio_yoy
macro_general_public_budget_revenue_100m_yoy,macro_secondary_industry_development_gdp_share_interp
macro_general_public_budget_revenue_100m_yoy,macro_secondary_industry_development_gdp_share_yoy
macro_personal_income_tax_100m_interp,macro_general_public_budget_revenue_100m_interp
macro_per_capita_personal_income_tax_yuan_interp,macro_personal_income_tax_100m_interp
macro_per_capita_personal_income_tax_yuan_yoy,macro_personal_income_tax_100m_yoy
macro_general_public_budget_expenditure_100m_interp,macro_per_capita_personal_income_tax_yuan_interp
macro_general_public_budget_expenditure_100m_yoy,macro_tertiary_industry_percent_interp
macro_general_public_budget_expenditure_100m_yoy,macro_general_public_budget_expenditure_100m_interp
macro_total_retail_sales_of_consumer_goods_100m_interp,macro_primary_industry_100m_yoy
macro_total_retail_sales_of_consumer_goods_100m_yoy,macro_gdp_per_capita_yuan_yoy
macro_retail_sales_growth_rate_interp,macro_total_retail_sales_of_consumer_goods_100m_yoy
macro_retail_sales_growth_rate_yoy,macro_general_public_budget_revenue_100m_yoy
macro_annual_average_wage_urban_non_private_employees_yuan_interp,macro_general_public_budget_expenditure_100m_yoy
macro_annual_average_wage_urban_non_private_on_duty_employees_yuan_interp,macro_annual_average_wage_urban_non_private_employees_yuan_interp
macro_annual_average_wage_urban_non_private_on_duty_employees_yuan_yoy,macro_annual_average_wage_urban_non_private_employees_yuan_yoy
macro_per_capita_disposable_income_absolute_yuan_interp,macro_total_retail_sales_of_consumer_goods_100m_interp
macro_per_capita_disposable_income_absolute_yuan_interp,macro_annual_average_wage_urban_non_private_on_duty_employees_yuan_interp
macro_per_capita_disposable_income_absolute_yuan_yoy,macro_retail_sales_growth_rate_yoy
macro_per_capita_disposable_income_index_previous_year_100_interp,macro_per_capita_disposable_income_absolute_yuan_yoy
macro_engel_coefficient_yoy,macro_per_capita_disposable_income_index_previous_year_100_yoy
macro_per_capita_housing_area_sqm_yoy,macro_urban_consumer_price_index_previous_year_100_interp
macro_number_of_universities_interp,macro_per_capita_disposable_income_absolute_yuan_interp
macro_number_of_universities_yoy,macro_per_capita_personal_income_tax_yuan_yoy
macro_university_students_10k_interp,macro_number_of_universities_interp
macro_university_students_10k_yoy,macro_secondary_industry_percent_interp
macro_number_of_middle_schools_interp,macro_university_students_10k_interp
macro_middle_school_students_10k_interp,macro_number_of_middle_schools_interp
macro_number_of_primary_schools_yoy,macro_tertiary_industry_percent_yoy
macro_primary_school_students_10k_interp,macro_middle_school_students_10k_interp
macro_number_of_kindergartens_interp,macro_primary_school_students_10k_interp
macro_number_of_kindergartens_yoy,macro_annual_average_wage_urban_non_private_on_duty_employees_yuan_yoy
macro_kindergarten_students_10k_interp,macro_number_of_kindergartens_interp
macro_kindergarten_students_10k_yoy,macro_over_60_years_percent_interp
macro_hospitals_health_centers_interp,macro_kindergarten_students_10k_interp
macro_hospitals_health_centers_yoy,macro_number_of_kindergartens_yoy
macro_hospital_beds_10k_interp,macro_hospitals_health_centers_interp
macro_hospital_beds_10k_yoy,macro_primary_school_students_10k_yoy
macro_health_technical_personnel_10k_interp,macro_hospital_beds_10k_interp
macro_health_technical_personnel_10k_yoy,macro_hospitals_health_centers_yoy
macro_health_technical_personnel_10k_yoy,macro_hospital_beds_10k_yoy
macro_doctors_10k_interp,macro_health_technical_personnel_10k_interp
macro_doctors_10k_yoy,macro_health_technical_personnel_10k_yoy
macro_road_length_km_interp,macro_doctors_10k_interp
macro_road_area_10k_sqm_interp,macro_road_length_km_interp
macro_road_area_10k_sqm_yoy,macro_road_length_km_yoy
macro_per_capita_urban_road_area_sqm_interp,macro_number_of_primary_schools_yoy
macro_per_capita_urban_road_area_sqm_interp,macro_road_area_10k_sqm_interp
macro_per_capita_urban_road_area_sqm_yoy,macro_number_of_primary_schools_interp
macro_number_of_operating_bus_lines_yoy,macro_number_of_universities_yoy
macro_operating_bus_line_length_km_interp,macro_number_of_operating_bus_lines_interp
macro_operating_bus_line_length_km_yoy,macro_number_of_middle_schools_yoy
macro_internet_broadband_access_subscribers_10k_interp,macro_operating_bus_line_length_km_interp
macro_internet_broadband_access_subscribers_10k_yoy,macro_middle_school_students_10k_yoy
macro_internet_broadband_access_ratio_interp,macro_internet_broadband_access_subscribers_10k_interp
macro_internet_broadband_access_ratio_yoy,macro_internet_broadband_access_subscribers_10k_yoy
macro_number_of_industrial_enterprises_above_designated_size_interp,macro_per_capita_urban_road_area_sqm_interp
macro_number_of_industrial_enterprises_above_designated_size_interp,macro_internet_broadband_access_ratio_interp
macro_number_of_industrial_enterprises_above_designated_size_yoy,macro_per_capita_urban_road_area_sqm_yoy
macro_total_current_assets_10k_interp,macro_number_of_industrial_enterprises_above_designated_size_interp
macro_total_current_assets_10k_yoy,macro_operating_bus_line_length_km_yoy
macro_main_business_taxes_and_surcharges_10k_yoy,macro_number_of_industrial_enterprises_above_designated_size_yoy
macro_real_estate_development_investment_completed_10k_yoy,macro_main_business_taxes_and_surcharges_10k_yoy
macro_residential_development_investment_completed_10k_yoy,macro_real_estate_development_investment_completed_10k_yoy
macro_science_expenditure_10k_interp,macro_total_current_assets_10k_interp
macro_science_expenditure_10k_yoy,macro_residential_development_investment_completed_10k_yoy
macro_education_expenditure_10k_interp,macro_science_expenditure_10k_interp
macro_education_expenditure_10k_yoy,macro_education_expenditure_10k_interp
missing_nh_num_new_house_transactions,has_new_house
missing_nh_area_new_house_transactions,missing_nh_num_new_house_transactions
missing_nh_price_new_house_transactions,missing_nh_area_new_house_transactions
missing_nh_amount_new_house_transactions,missing_nh_price_new_house_transactions
missing_nh_area_per_unit_new_house_transactions,missing_nh_amount_new_house_transactions
missing_nh_total_price_per_unit_new_house_transactions,missing_nh_area_per_unit_new_house_transactions
missing_nh_num_new_house_available_for_sale,missing_nh_total_price_per_unit_new_house_transactions
missing_nh_area_new_house_available_for_sale,missing_nh_num_new_house_available_for_sale
missing_nh_period_new_house_sell_through,missing_nh_area_new_house_available_for_sale
missing_nhnbr_num_new_house_transactions_nearby_sectors,has_pre_owned
missing_nhnbr_area_new_house_transactions_nearby_sectors,missing_nhnbr_num_new_house_transactions_nearby_sectors
missing_nhnbr_price_new_house_transactions_nearby_sectors,missing_nhnbr_area_new_house_transactions_nearby_sectors
missing_nhnbr_amount_new_house_transactions_nearby_sectors,missing_nhnbr_price_new_house_transactions_nearby_sectors
missing_nhnbr_area_per_unit_new_house_transactions_nearby_sectors,missing_nhnbr_amount_new_house_transactions_nearby_sectors
missing_nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors,missing_nhnbr_area_per_unit_new_house_transactions_nearby_sectors
missing_nhnbr_num_new_house_available_for_sale_nearby_sectors,missing_nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors
missing_nhnbr_area_new_house_available_for_sale_nearby_sectors,missing_nhnbr_num_new_house_available_for_sale_nearby_sectors
missing_nhnbr_period_new_house_sell_through_nearby_sectors,missing_nhnbr_area_new_house_available_for_sale_nearby_sectors
missing_po_area_pre_owned_house_transactions,missing_nhnbr_period_new_house_sell_through_nearby_sectors
missing_po_amount_pre_owned_house_transactions,missing_po_area_pre_owned_house_transactions
missing_po_num_pre_owned_house_transactions,missing_po_amount_pre_owned_house_transactions
missing_po_price_pre_owned_house_transactions,missing_po_num_pre_owned_house_transactions
missing_ponbr_num_pre_owned_house_transactions_nearby_sectors,has_pre_owned_nearby
missing_ponbr_area_pre_owned_house_transactions_nearby_sectors,missing_ponbr_num_pre_owned_house_transactions_nearby_sectors
missing_ponbr_amount_pre_owned_house_transactions_nearby_sectors,missing_ponbr_area_pre_owned_house_transactions_nearby_sectors
missing_ponbr_price_pre_owned_house_transactions_nearby_sectors,missing_ponbr_amount_pre_owned_house_transactions_nearby_sectors
missing_land_num_land_transactions,has_land
missing_land_construction_area,missing_land_num_land_transactions
missing_land_planned_building_area,missing_land_construction_area
missing_land_transaction_amount,missing_land_planned_building_area
missing_landnbr_num_land_transactions_nearby_sectors,has_land_nearby
missing_landnbr_construction_area_nearby_sectors,missing_landnbr_num_land_transactions_nearby_sectors
missing_landnbr_planned_building_area_nearby_sectors,missing_landnbr_construction_area_nearby_sectors
missing_landnbr_transaction_amount_nearby_sectors,missing_landnbr_planned_building_area_nearby_sectors
missing_poi_population_scale,missing_poi_sector_coverage
missing_poi_residential_area,missing_poi_population_scale
missing_poi_office_building,missing_poi_residential_area
missing_poi_commercial_area,missing_poi_office_building
missing_poi_resident_population,missing_poi_commercial_area
missing_poi_office_population,missing_poi_resident_population
missing_poi_number_of_shops,missing_poi_office_population
missing_poi_catering,missing_poi_number_of_shops
missing_poi_retail,missing_poi_catering
missing_poi_hotel,missing_poi_retail
missing_poi_transportation_station,missing_poi_hotel
missing_poi_education,missing_poi_transportation_station
missing_poi_leisure_and_entertainment,missing_poi_education
missing_poi_bus_station_cnt,missing_poi_leisure_and_entertainment
missing_poi_subway_station_cnt,missing_poi_bus_station_cnt
missing_poi_rentable_shops,missing_poi_subway_station_cnt
missing_poi_surrounding_housing_average_price,has_poi
missing_poi_leisure_entertainment_entertainment_venue_game_arcade,missing_poi_rentable_shops
missing_poi_leisure_entertainment_entertainment_venue_party_house,missing_poi_leisure_entertainment_entertainment_venue_game_arcade
missing_poi_leisure_entertainment_cultural_venue_cultural_palace,missing_poi_leisure_entertainment_entertainment_venue_party_house
missing_poi_office_building_industrial_building_industrial_building,missing_poi_leisure_entertainment_cultural_venue_cultural_palace
missing_poi_education_training_school_education_middle_school,missing_poi_office_building_industrial_building_industrial_building
missing_poi_education_training_school_education_primary_school,missing_poi_education_training_school_education_middle_school
missing_poi_education_training_school_education_kindergarten,missing_poi_education_training_school_education_primary_school
missing_poi_education_training_school_education_research_institution,missing_poi_education_training_school_education_kindergarten
missing_poi_medical_health,missing_poi_education_training_school_education_research_institution
missing_poi_medical_health_specialty_hospital,missing_poi_medical_health
missing_poi_medical_health_tcm_hospital,missing_poi_medical_health_specialty_hospital
missing_poi_medical_health_physical_examination_institution,missing_poi_medical_health_tcm_hospital
missing_poi_medical_health_veterinary_station,missing_poi_medical_health_physical_examination_institution
missing_poi_medical_health_pharmaceutical_healthcare,missing_poi_medical_health_veterinary_station
missing_poi_medical_health_rehabilitation_institution,missing_poi_medical_health_pharmaceutical_healthcare
missing_poi_medical_health_first_aid_center,missing_poi_medical_health_rehabilitation_institution
missing_poi_medical_health_blood_donation_station,missing_poi_medical_health_first_aid_center
missing_poi_medical_health_disease_prevention_institution,missing_poi_medical_health_blood_donation_station
missing_poi_medical_health_general_hospital,missing_poi_medical_health_disease_prevention_institution
missing_poi_medical_health_clinic,missing_poi_medical_health_general_hospital
missing_poi_transportation_facilities_service_bus_station,missing_poi_medical_health_clinic
missing_poi_transportation_facilities_service_subway_station,missing_poi_transportation_facilities_service_bus_station
missing_poi_transportation_facilities_service_airport_related,missing_poi_transportation_facilities_service_subway_station
missing_poi_transportation_facilities_service_port_terminal,missing_poi_transportation_facilities_service_airport_related
missing_poi_transportation_facilities_service_train_station,missing_poi_transportation_facilities_service_port_terminal
missing_poi_transportation_facilities_service_light_rail_station,missing_poi_transportation_facilities_service_train_station
missing_poi_transportation_facilities_service_long_distance_bus_station,missing_poi_transportation_facilities_service_light_rail_station
missing_poi_number_of_leisure_and_entertainment_stores,missing_poi_transportation_facilities_service_long_distance_bus_station
missing_poi_number_of_other_stores,missing_poi_number_of_leisure_and_entertainment_stores
missing_poi_number_of_other_anchor_stores,missing_poi_number_of_other_stores
missing_poi_number_of_home_appliance_stores,missing_poi_number_of_other_anchor_stores
missing_poi_number_of_skincare_cosmetics_stores,missing_poi_number_of_home_appliance_stores
missing_poi_number_of_fashion_stores,missing_poi_number_of_skincare_cosmetics_stores
missing_poi_number_of_service_stores,missing_poi_number_of_fashion_stores
missing_poi_number_of_jewelry_stores,missing_poi_number_of_service_stores
missing_poi_number_of_lifestyle_leisure_stores,missing_poi_number_of_jewelry_stores
missing_poi_number_of_supermarket_convenience_stores,missing_poi_number_of_lifestyle_leisure_stores
missing_poi_number_of_catering_food_stores,missing_poi_number_of_supermarket_convenience_stores
missing_poi_number_of_residential_commercial,missing_poi_number_of_catering_food_stores
missing_poi_number_of_office_building_commercial,missing_poi_number_of_residential_commercial
missing_poi_number_of_commercial_buildings,missing_poi_number_of_office_building_commercial
missing_poi_number_of_hypermarkets,missing_poi_number_of_commercial_buildings
missing_poi_number_of_department_stores,missing_poi_number_of_hypermarkets
missing_poi_number_of_shopping_centers,missing_poi_number_of_department_stores
missing_poi_number_of_hotel_commercial,missing_poi_number_of_shopping_centers
missing_poi_number_of_third_tier_shopping_malls_in_business_district,missing_poi_number_of_hotel_commercial
missing_poi_number_of_second_tier_shopping_malls_in_business_district,missing_poi_number_of_third_tier_shopping_malls_in_business_district
missing_poi_number_of_city_winner_malls,missing_poi_number_of_second_tier_shopping_malls_in_business_district
missing_poi_number_of_shopping_malls_with_street_facing_shops,missing_poi_number_of_city_winner_malls
missing_poi_number_of_unranked_malls,missing_poi_number_of_shopping_malls_with_street_facing_shops
missing_poi_number_of_community_malls,missing_poi_number_of_unranked_malls
missing_poi_number_of_community_winner_malls,missing_poi_number_of_community_malls
missing_poi_number_of_key_focus_malls,missing_poi_number_of_community_winner_malls
missing_poi_population_scale_dense,missing_poi_number_of_key_focus_malls
missing_poi_residential_area_dense,missing_poi_population_scale_dense
missing_poi_office_building_dense,missing_poi_residential_area_dense
missing_poi_commercial_area_dense,missing_poi_office_building_dense
missing_poi_resident_population_dense,missing_poi_commercial_area_dense
missing_poi_office_population_dense,missing_poi_resident_population_dense
missing_poi_number_of_shops_dense,missing_poi_office_population_dense
missing_poi_catering_dense,missing_poi_number_of_shops_dense
missing_poi_retail_dense,missing_poi_catering_dense
missing_poi_hotel_dense,missing_poi_retail_dense
missing_poi_transportation_station_dense,missing_poi_hotel_dense
missing_poi_education_dense,missing_poi_transportation_station_dense
missing_poi_leisure_and_entertainment_dense,missing_poi_education_dense
missing_poi_bus_station_cnt_dense,missing_poi_leisure_and_entertainment_dense
missing_poi_subway_station_cnt_dense,missing_poi_bus_station_cnt_dense
missing_poi_rentable_shops_dense,missing_poi_subway_station_cnt_dense
missing_poi_leisure_entertainment_stores_dense,missing_poi_rentable_shops_dense
missing_poi_other_stores_dense,missing_poi_leisure_entertainment_stores_dense
missing_poi_other_anchor_stores_dense,missing_poi_other_stores_dense
missing_poi_home_appliance_stores_dense,missing_poi_other_anchor_stores_dense
missing_poi_skincare_cosmetics_stores_dense,missing_poi_home_appliance_stores_dense
missing_poi_fashion_stores_dense,missing_poi_skincare_cosmetics_stores_dense
missing_poi_service_stores_dense,missing_poi_fashion_stores_dense
missing_poi_jewelry_stores_dense,missing_poi_service_stores_dense
missing_poi_lifestyle_leisure_stores_dense,missing_poi_jewelry_stores_dense
missing_poi_supermarket_convenience_stores_dense,missing_poi_lifestyle_leisure_stores_dense
missing_poi_catering_food_stores_dense,missing_poi_supermarket_convenience_stores_dense
missing_poi_residential_commercial_dense,missing_poi_catering_food_stores_dense
missing_poi_office_building_commercial_dense,missing_poi_residential_commercial_dense
missing_poi_commercial_buildings_dense,missing_poi_office_building_commercial_dense
missing_poi_hypermarkets_dense,missing_poi_commercial_buildings_dense
missing_poi_department_stores_dense,missing_poi_hypermarkets_dense
